delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
18180,4334,2579,26147,6650,5504,1445,3286
42479,18308,12964,5226,15194,4711,1537,985
17362,9787,7699,5760,6706,3686,2066,1201
15974,31176,15581,7043,5662,4743,3255,2676
26493,30527,6848,11667,7439,4986,1658,1593
15674,40145,10123,4582,5570,2662,2144,2372
23214,20388,12480,14769,15639,11286,899,1449
34724,41162,17038,4750,11884,6674,2069,1682
25846,39738,14026,19488,9449,7898,2208,1243
75062,66404,2867,16242,3433,9735,2233,1466
18238,55460,15556,81793,65591,10280,862,604
62209,19345,6785,92391,19082,5707,1237,670
79773,41303,6711,11832,8098,5784,1736,943
80508,52488,15218,17638,8179,6803,3179,1191
4271,22220,2172,17036,5132,5631,1414,1318
9084,10961,6773,25107,6950,7264,2429,1788
6291,18624,11669,5477,12921,8474,1864,1133
38141,18903,10840,11064,6539,6370,3329,976
6123,10994,20303,3644,9467,3726,2637,1071
25912,54197,16887,8516,15820,10411,1027,1280
8703,34772,8294,35276,3712,9684,819,1023
12139,12964,5808,10505,7247,7704,1439,1208
117699,31928,29491,21112,35243,13069,2071,1752
721563,189967,13974,43202,34671,8947,5362,2880
6515,23821,23034,14610,6895,13942,926,886
30132,56147,2766,8154,3788,4657,2476,2447
48043,27046,14319,45158,7654,5605,1365,1461
4146,25767,15400,101097,45382,6679,1590,1116
5729,41428,15360,62862,23035,5748,562,770
52775,24200,5575,10184,27776,6122,1585,781
17893,55461,1756,6966,6511,7892,1885,1328
95574,16351,6405,6378,2112,2766,649,225
195156,47729,14746,34690,11893,5285,2956,4392
27680,12799,5518,5194,9593,4652,1611,4542
19380,11415,17318,8463,3924,2821,1531,1137
32097,36417,6969,6100,11638,5289,2932,1946
76492,116737,27093,24110,11631,4363,1134,753
40157,23768,18608,9987,31891,12045,2666,727
36713,20508,18556,8712,14128,4708,1766,674
44010,42707,9526,42322,18655,4024,1820,1680
9241,44504,8726,21468,4700,4675,4835,818
3829,33117,27102,22059,5876,6076,2373,1052
47678,42986,10881,5902,7102,5106,1115,963
33022,61493,30893,23336,14372,7905,1319,1077
7967,8221,26890,20063,29137,8516,836,501
18423,38897,83185,26464,7244,6393,1062,940
28878,26456,10001,36485,15931,4949,1217,666
45657,23089,7616,31528,16508,6544,1369,789
55359,56798,6831,4152,7331,7591,2761,1433
9499,17618,9592,10287,3852,5782,2869,558
19366,27351,50817,36489,18602,7110,5011,1276
26179,85638,33256,7377,12560,4283,1433,820
24596,31341,28226,31070,7670,8643,1552,1024
19345,27659,3449,187037,12304,4169,900,920
111278,35460,14936,26477,14406,2218,1889,606
42292,26405,121794,27793,12233,3591,1526,664
7211,78379,33257,2247,7109,2554,1689,865
219666,32718,27911,22716,8721,3881,754,1027
18054,71770,46393,75069,47596,3662,2384,962
41985,45681,54677,14019,12377,2821,1158,1231
13505,10647,39864,38829,125265,3267,840,664
12133,63301,19279,8896,5556,7125,1336,371
68734,90436,580,66973,8213,4235,2334,579
40360,88191,53233,93143,16181,8475,3021,597
555670,44319,98777,362483,19434,8820,1249,1284
21907,22770,21555,90411,53543,2554,2570,772
25618,45603,21903,13754,63357,7502,2848,1103
28291,33450,14942,16312,9214,6019,893,618
6050,77991,14036,10684,4713,6461,2211,1055
26813,19376,61210,158236,47837,10085,1523,5175
652079,701596,125983,24008,86484,67689,62300,23876
1539569,330485,222230,192069,184516,376206,64433,112211
495167,109910,98652,98893,107743,55560,39070,45499
532036,243448,21157,2831,5432,15000,4795,2195
225168,122043,112012,204646,36526,138925,69288,32807
42412,15612,9588,13116,5821,6356,1503,754
37830,29313,15957,13295,3773,7179,2000,1160
157259,52403,11926,15767,7005,1464,1378,2794
11377,48193,43182,87167,9827,3036,1517,1201
72257,90558,39564,58115,12611,4412,2286,1067
13212,14418,15811,8495,5814,3143,1541,2043
24136,28115,5365,11153,14519,7313,1685,1530
49032,77627,2741,7994,5197,5241,1056,852
13028,68558,31122,45150,7339,4129,2498,1433
28916,36804,20357,177434,10452,8584,2299,741
20822,16907,19810,17324,5521,7261,1542,986
88615,42300,23189,11803,57008,4894,1139,940
12149,7782,29645,7047,12735,6049,1708,828
66703,49510,3782,31953,12080,5011,1436,547
54690,27198,21427,29512,7349,4804,1845,1489
15899,83582,25648,11947,10399,3923,1822,966
18562,4202,7864,9538,9488,7279,2333,752
20663,29601,25095,14100,20453,6376,1064,370
27014,11771,32378,45088,5348,11393,482,1151
11108,18863,14755,18242,13606,2665,1587,815
21736,91038,6714,8116,4538,5389,2235,787
7562,93452,18705,17832,11608,5104,1527,926
18870,47472,21419,7675,10079,3052,1543,802
85978,106500,96003,9298,25753,4122,1313,2757
33424,78660,19456,59272,36756,12088,2425,972
10739,82069,33732,13185,7024,3802,1181,700
55582,111426,11108,9656,28395,5137,1447,1212
10770,49909,6191,48555,11554,8288,2232,2800
26724,21852,19357,5006,1180,4262,1138,1328
17164,50683,6505,19042,4174,2763,3164,1006
80467,55048,73631,55751,13844,7028,2124,1048
116899,21488,3956,2256,3161,2704,541,487
14340,84199,17130,28862,16914,9340,1292,826
67484,27057,10100,11042,10048,3579,1791,1656
32895,68870,29381,12718,7985,2588,1629,651
115472,55465,23788,137725,193872,7207,1554,982
291776,117276,44404,32010,29902,8166,1716,876
18496,7428,8878,20915,7605,4443,535,867
22741,87423,33221,6183,8496,4492,1015,668
89795,47185,29040,101583,9812,4508,896,684
6595,32353,7563,24068,2612,7070,1887,1210
14054,137997,23449,13434,2708,5485,1759,1071
85570,4360,8385,14942,4490,2088,315,714
131010,6060,6912,14348,3482,1039,321,164
64243,51634,2755,8058,9138,4902,765,1333
27085,34581,42566,43015,2547,5610,1942,751
47683,39927,11104,9307,5800,3797,2324,641
20193,9502,16415,38249,5632,2920,1313,798
20085,33263,23396,9641,4961,5103,1308,576
21613,33811,11637,8777,13639,2619,963,2089
21843,23690,17027,22441,26335,9783,1758,1501
41398,19497,8151,9477,4495,6095,1536,1176
10376,21205,43524,18771,12279,2981,701,1035
85528,105667,86691,85621,10474,7706,2392,1124
101969,10684,1660,7440,725,1078,409,338
35813,40489,16288,17217,10394,5791,1271,905
41366,21086,9726,6686,13762,5038,1808,445
8540,19644,59414,11618,19856,5993,2146,1633
38684,37185,3456,118844,9393,5563,576,1797
27056,36895,8580,148083,34884,4681,1460,1134
32329,76232,18702,16870,7607,4169,2344,1331
28389,22133,13963,10628,2638,2741,1722,643
25990,17736,14302,13251,24389,5964,2039,1032
8883,27449,8734,9808,7842,8547,819,702
15571,63698,40366,15579,6343,4208,1266,1064
48302,54419,15883,23386,21421,7750,1068,519
15244,34055,36882,21344,6518,8915,1313,711
12928,27790,24567,37909,15244,3308,1027,1663
42867,74573,36613,18182,17961,9547,1728,823
35537,42547,31170,27222,21482,3306,1179,1099
40790,62340,16336,27175,7305,8668,1481,1350
255841,49612,25137,50808,27691,5939,1251,495
