attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,result
26 ,57 ,131742 ,34643 ,18235 ,33188 ,18235 ,5561 ,4684 ,2854 ,0 
30 ,67 ,123655 ,27110 ,17922 ,37415 ,17922 ,5277 ,4317 ,2948 ,0 
36 ,76 ,124868 ,21815 ,18855 ,32842 ,18855 ,5978 ,3430 ,2839 ,0 
37 ,82 ,205587 ,30089 ,22014 ,36276 ,22014 ,5211 ,3495 ,2784 ,0 
39 ,83 ,252201 ,34713 ,18597 ,36587 ,18597 ,6374 ,3350 ,2487 ,0 
41 ,82 ,260321 ,34070 ,14926 ,33137 ,14926 ,6127 ,3165 ,2656 ,0 
38 ,77 ,273955 ,66973 ,17651 ,34587 ,17651 ,6996 ,3405 ,2515 ,0 
37 ,73 ,278455 ,70623 ,18879 ,39819 ,18879 ,7335 ,4129 ,4165 ,0 
36 ,72 ,175048 ,58690 ,19238 ,35763 ,19238 ,7365 ,4174 ,3919 ,0 
32 ,71 ,153590 ,63634 ,17064 ,37702 ,17064 ,6416 ,4092 ,3985 ,0 
34 ,68 ,124217 ,57479 ,17280 ,33140 ,17280 ,6564 ,3985 ,3899 ,0 
40 ,66 ,173758 ,39688 ,15505 ,43530 ,15505 ,7730 ,3613 ,4108 ,0 
47 ,62 ,199093 ,38510 ,14318 ,34653 ,14318 ,6821 ,2804 ,2376 ,0 
55 ,57 ,187240 ,39054 ,10448 ,33876 ,10448 ,7204 ,3453 ,2611 ,0 
62 ,55 ,235521 ,30646 ,10192 ,28153 ,10192 ,7320 ,4277 ,2676 ,0 
61 ,53 ,198103 ,32900 ,10369 ,27418 ,10369 ,6529 ,4042 ,2261 ,0 
58 ,53 ,245508 ,24735 ,8348 ,13465 ,8348 ,4543 ,4156 ,1953 ,0 
50 ,55 ,271589 ,28406 ,13575 ,20794 ,13575 ,5383 ,4901 ,2113 ,0 
41 ,53 ,334195 ,37111 ,12750 ,18989 ,12750 ,5829 ,4487 ,1871 ,0 
40 ,50 ,286688 ,34531 ,11503 ,15171 ,11503 ,5986 ,3421 ,2375 ,0 
44 ,49 ,293001 ,35557 ,12183 ,18076 ,12183 ,7082 ,4328 ,2635 ,0 
49 ,47 ,324223 ,81500 ,48987 ,36105 ,48987 ,18135 ,18164 ,5596 ,0 
56 ,47 ,985184 ,117735 ,49036 ,46071 ,49036 ,21717 ,19293 ,8519 ,0 
58 ,48 ,994055 ,117197 ,50838 ,46116 ,50838 ,20668 ,18563 ,8608 ,0 
54 ,47 ,1089064 ,167664 ,66052 ,55510 ,66052 ,24649 ,20088 ,8483 ,0 
47 ,45 ,1135792 ,173291 ,66374 ,54490 ,66374 ,24297 ,19520 ,8625 ,0 
39 ,44 ,1173397 ,134615 ,30975 ,34127 ,30975 ,13439 ,5347 ,5370 ,0 
35 ,43 ,464346 ,96741 ,26002 ,21531 ,26002 ,9967 ,3696 ,2332 ,0 
37 ,44 ,413375 ,89755 ,25322 ,21797 ,25322 ,10171 ,4402 ,2389 ,0 
40 ,46 ,300359 ,44764 ,9305 ,16148 ,9305 ,6307 ,3799 ,2679 ,0 
47 ,50 ,260773 ,36000 ,7967 ,15007 ,7967 ,5855 ,3649 ,2372 ,0 
50 ,54 ,86834 ,32269 ,11975 ,27489 ,11975 ,5506 ,4379 ,2591 ,0 
49 ,57 ,118818 ,28592 ,10958 ,23938 ,10958 ,3755 ,4147 ,2271 ,0 
45 ,60 ,177034 ,32016 ,13065 ,33483 ,13065 ,4888 ,3671 ,2491 ,0 
39 ,61 ,208698 ,27610 ,11805 ,29015 ,11805 ,3823 ,2442 ,1367 ,0 
33 ,57 ,203198 ,38769 ,11917 ,28297 ,11917 ,4490 ,2806 ,1798 ,0 
30 ,49 ,217722 ,69290 ,10482 ,15930 ,10482 ,5769 ,2522 ,2003 ,0 
27 ,39 ,238077 ,80725 ,15814 ,13921 ,15814 ,6663 ,2619 ,2304 ,0 
25 ,32 ,301920 ,90695 ,30729 ,9044 ,30729 ,5970 ,2874 ,2150 ,0 
25 ,30 ,310506 ,94391 ,33200 ,10506 ,33200 ,7046 ,2988 ,2374 ,0 
21 ,34 ,405044 ,115516 ,39647 ,12343 ,39647 ,7959 ,3935 ,2479 ,0 
19 ,37 ,516772 ,131285 ,38094 ,14275 ,38094 ,7648 ,3739 ,2610 ,0 
17 ,39 ,508385 ,128619 ,36613 ,14324 ,36613 ,7887 ,3404 ,2465 ,0 
15 ,38 ,399555 ,153528 ,20509 ,14191 ,20509 ,6957 ,3076 ,2519 ,0 
13 ,33 ,357839 ,153133 ,17268 ,14535 ,17268 ,6163 ,3132 ,2687 ,0 
13 ,26 ,260468 ,132311 ,10504 ,13316 ,10504 ,4441 ,1719 ,2081 ,0 
14 ,25 ,251382 ,83680 ,18894 ,10371 ,18894 ,4938 ,1843 ,1865 ,0 
20 ,29 ,244966 ,75233 ,22274 ,17170 ,22274 ,6540 ,2314 ,1877 ,0 
29 ,33 ,310685 ,106239 ,32908 ,20280 ,32908 ,13986 ,5611 ,2600 ,0 
38 ,42 ,468007 ,121330 ,47542 ,25601 ,47542 ,14944 ,6484 ,3687 ,0 
46 ,49 ,550306 ,170755 ,57363 ,31617 ,57363 ,18007 ,9183 ,6823 ,0 
52 ,52 ,583162 ,169069 ,46940 ,31244 ,46940 ,16896 ,9641 ,6913 ,0 
50 ,51 ,642031 ,167358 ,40056 ,24117 ,40056 ,13831 ,9021 ,6766 ,0 
47 ,47 ,563734 ,100195 ,26782 ,15734 ,26782 ,6232 ,5425 ,5624 ,0 
43 ,37 ,447708 ,135723 ,14973 ,10799 ,14973 ,7307 ,8179 ,5550 ,0 
42 ,29 ,695987 ,84814 ,6220 ,6565 ,6220 ,6530 ,5627 ,3048 ,0 
42 ,24 ,569018 ,99590 ,11808 ,12091 ,11808 ,7359 ,5578 ,2752 ,0 
47 ,21 ,778695 ,117606 ,17878 ,14106 ,17878 ,10927 ,7325 ,3879 ,0 
52 ,23 ,1186949 ,165951 ,24238 ,18150 ,24238 ,16729 ,8230 ,4864 ,0 
57 ,27 ,1218418 ,115972 ,24033 ,16647 ,24033 ,15393 ,5042 ,3679 ,0 
63 ,31 ,1154889 ,116687 ,24470 ,20888 ,24470 ,15751 ,5894 ,3976 ,0 
66 ,36 ,1153299 ,97618 ,18237 ,15745 ,18237 ,14102 ,5327 ,3914 ,0 
65 ,40 ,1380254 ,135238 ,15532 ,40170 ,15532 ,13789 ,5925 ,4275 ,0 
62 ,43 ,1101684 ,91254 ,11344 ,38236 ,11344 ,8835 ,6671 ,4503 ,0 
58 ,45 ,1139508 ,90089 ,11193 ,38729 ,11193 ,8292 ,6097 ,4370 ,0 
54 ,48 ,976828 ,85372 ,17956 ,34485 ,17956 ,7191 ,5341 ,3817 ,0 
51 ,48 ,995490 ,98396 ,19361 ,34330 ,19361 ,7948 ,5038 ,3835 ,0 
50 ,47 ,607144 ,54301 ,17463 ,9828 ,17463 ,5631 ,2958 ,2437 ,0 
49 ,48 ,679908 ,60143 ,25204 ,21571 ,25204 ,6889 ,2216 ,1785 ,0 
49 ,49 ,653156 ,58687 ,24325 ,23645 ,24325 ,6820 ,2490 ,1869 ,0 
47 ,49 ,601690 ,57749 ,16773 ,22204 ,16773 ,5490 ,2338 ,1480 ,0 
44 ,52 ,678936 ,74200 ,26979 ,29581 ,26979 ,5796 ,3256 ,2117 ,0 
40 ,54 ,556186 ,62896 ,25791 ,27856 ,25791 ,4944 ,3045 ,1981 ,0 
38 ,59 ,375396 ,51837 ,18347 ,22232 ,18347 ,4013 ,2973 ,1860 ,0 
