attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,result
37 ,20 ,594533 ,94775 ,6152 ,11607 ,6152 ,5204 ,2677 ,1927 ,0 
35 ,22 ,698774 ,78795 ,4555 ,8003 ,4555 ,4953 ,2482 ,2633 ,0 
38 ,23 ,540316 ,72687 ,3003 ,9050 ,3003 ,5000 ,2476 ,2403 ,0 
44 ,25 ,516749 ,48698 ,2935 ,7946 ,2935 ,4964 ,2337 ,2026 ,0 
54 ,30 ,690403 ,59666 ,11897 ,13032 ,11897 ,9543 ,4812 ,2954 ,0 
61 ,38 ,626635 ,34103 ,13209 ,13555 ,13209 ,7638 ,4108 ,2796 ,0 
66 ,41 ,429622 ,38585 ,13716 ,11019 ,13716 ,7837 ,4461 ,1927 ,0 
67 ,44 ,730449 ,125784 ,48031 ,21282 ,48031 ,19272 ,7096 ,3835 ,0 
66 ,47 ,834132 ,121527 ,49757 ,22130 ,49757 ,19372 ,7292 ,3786 ,0 
63 ,42 ,965112 ,144504 ,40525 ,18916 ,40525 ,16266 ,6658 ,3140 ,0 
61 ,44 ,847527 ,139428 ,41196 ,17283 ,41196 ,15939 ,6416 ,2846 ,0 
60 ,45 ,869347 ,142791 ,41433 ,18078 ,41433 ,16016 ,5853 ,3033 ,0 
59 ,46 ,614822 ,62956 ,7126 ,7455 ,7126 ,4538 ,3470 ,1249 ,0 
58 ,43 ,952175 ,186519 ,23185 ,20431 ,23185 ,19075 ,6759 ,3143 ,0 
60 ,42 ,1075896 ,174418 ,43238 ,20638 ,43238 ,27234 ,6086 ,3245 ,0 
63 ,37 ,1166151 ,176144 ,41359 ,20194 ,41359 ,27399 ,6307 ,3314 ,0 
64 ,37 ,1173266 ,172027 ,41016 ,20253 ,41016 ,26643 ,6338 ,3213 ,0 
65 ,35 ,1182275 ,168462 ,42620 ,19177 ,42620 ,26692 ,7236 ,3490 ,0 
64 ,35 ,940282 ,55123 ,25162 ,9649 ,25162 ,13100 ,4395 ,2255 ,0 
58 ,38 ,801167 ,46307 ,8752 ,11657 ,8752 ,3985 ,3929 ,1918 ,0 
56 ,41 ,764178 ,46433 ,12377 ,11118 ,12377 ,5013 ,4119 ,1976 ,0 
54 ,45 ,904417 ,73030 ,15991 ,27455 ,15991 ,8487 ,7352 ,3205 ,0 
54 ,48 ,1202687 ,96799 ,18073 ,33457 ,18073 ,14132 ,8616 ,3216 ,0 
58 ,51 ,1283841 ,113806 ,35592 ,35427 ,35592 ,17219 ,12854 ,3862 ,0 
62 ,55 ,1568327 ,106645 ,51276 ,42274 ,51276 ,18917 ,17594 ,4427 ,0 
66 ,56 ,1544182 ,114389 ,49868 ,44109 ,49868 ,21164 ,21632 ,4534 ,0 
70 ,56 ,1566212 ,94757 ,48067 ,29788 ,48067 ,20280 ,20165 ,3838 ,0 
72 ,55 ,1269737 ,227071 ,58786 ,43909 ,58786 ,29293 ,24367 ,5084 ,0 
72 ,53 ,1127689 ,201164 ,41471 ,41719 ,41471 ,25414 ,19721 ,4109 ,0 
75 ,50 ,1062322 ,202239 ,22565 ,31794 ,22565 ,26116 ,15768 ,4436 ,0 
73 ,48 ,1370958 ,204156 ,24809 ,32460 ,24809 ,25000 ,11932 ,5525 ,0 
71 ,47 ,1484236 ,208127 ,26930 ,33972 ,26930 ,25455 ,10769 ,5819 ,0 
71 ,49 ,1757228 ,76326 ,30767 ,21554 ,30767 ,18715 ,5831 ,6754 ,0 
71 ,52 ,1970961 ,222341 ,53498 ,31947 ,53498 ,43836 ,19703 ,8401 ,0 
69 ,53 ,1865227 ,404570 ,95642 ,53206 ,95642 ,49806 ,20739 ,10436 ,0 
67 ,53 ,1600667 ,408818 ,96216 ,52408 ,96216 ,48305 ,20571 ,9830 ,0 
64 ,51 ,1580585 ,433852 ,94944 ,53057 ,94944 ,48064 ,21784 ,10223 ,0 
59 ,45 ,1312805 ,421609 ,77238 ,47961 ,77238 ,43110 ,20439 ,8076 ,0 
57 ,41 ,952516 ,280157 ,59572 ,39883 ,59572 ,20569 ,7270 ,7114 ,0 
56 ,39 ,1079525 ,110127 ,23785 ,21312 ,23785 ,12687 ,5127 ,4632 ,0 
61 ,38 ,1060043 ,148273 ,18515 ,28300 ,18515 ,31219 ,11432 ,8180 ,0 
65 ,39 ,875988 ,114861 ,16630 ,23703 ,16630 ,28750 ,9984 ,7337 ,0 
68 ,41 ,936648 ,104360 ,20085 ,27352 ,20085 ,28164 ,10156 ,7850 ,0 
66 ,38 ,972404 ,110330 ,13697 ,20871 ,13697 ,25386 ,9333 ,7628 ,0 
64 ,33 ,669193 ,131377 ,14134 ,27090 ,14134 ,27941 ,12506 ,11775 ,0 
56 ,32 ,695222 ,84615 ,25184 ,24959 ,25184 ,9881 ,6408 ,8719 ,0 
51 ,35 ,634462 ,81497 ,27342 ,42333 ,27342 ,11271 ,7310 ,8930 ,0 
52 ,43 ,478406 ,72947 ,24672 ,37750 ,24672 ,9646 ,6522 ,7969 ,0 
56 ,57 ,453176 ,66872 ,25217 ,47436 ,25217 ,10640 ,8297 ,7770 ,0 
61 ,71 ,238946 ,23996 ,18074 ,37923 ,18074 ,7197 ,4773 ,3220 ,0 
67 ,78 ,362463 ,73686 ,16371 ,35600 ,16371 ,6993 ,6105 ,3376 ,0 
68 ,79 ,410135 ,109915 ,39824 ,24241 ,39824 ,7942 ,6074 ,3715 ,0 
