attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
29,63,377091,134974,28028,7570,61401,34888,6320,1239
27,67,1995425,172324,55313,79451,49915,21655,5683,3620
26,67,1126719,187821,19736,73721,26860,14372,3348,1781
29,84,772992,71940,87375,20381,17214,10756,8038,1270
26,100,1180942,21922,36579,22261,8125,9905,2202,929
34,93,1056260,109939,19077,6674,26253,28628,3762,5394
27,83,210558,208289,11997,34388,6133,4076,3604,1404
21,70,535846,182681,41649,41805,21547,10665,2969,1898
23,70,197337,43250,4760,7459,14697,13298,2209,703
26,74,326365,10661,13933,9191,9752,6343,3346,1375
35,81,343545,64317,19775,32458,11920,7568,2133,1484
