delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,level
73476,19196,4282,2629,3147,2750,3876,1828,0
760654,266779,126298,18684,19650,37242,25933,29325,0
1340247,90473,49811,18321,5794,20125,9940,6338,0
1153033,158074,2858,18276,26107,12340,9560,11245,0
122065,16732,2471,6733,2157,2836,509,2178,0
259422,92607,13788,4425,5420,1389,3205,1619,0
176008,15760,1149,2278,922,4277,598,896,0
1767580,401411,46237,42485,43193,12283,18249,24616,0
947169,806865,87903,84535,51018,100817,124047,33908,0
2619081,293091,20640,39725,17084,9683,25155,10647,0
591830,21247,3289,2453,1712,2293,2770,3226,0
1606831,397327,91298,34878,56171,31935,28218,18972,0
3930935,290120,39894,38072,13188,7694,10719,16254,0
1640718,568074,41696,108219,64767,28603,35208,48786,0
115958,62275,1244,4036,2523,2473,2147,2701,0
915629,58918,25378,11388,3955,10067,7498,5636,0
1528468,562234,77626,44263,65601,29369,24887,13266,0
54862,13361,2399,1357,1882,7770,14379,6857,0
660294,2103302,22028,40039,54608,36491,21460,16523,0
805857,31205,15954,13990,27839,26384,25047,8727,0
336961,5371,1167,914,553,531,225,207,0
71201,38728,6739,10498,3965,4028,3102,2289,0
614250,203006,17125,18862,42953,11386,16360,5186,0
293174,240846,35258,18639,12078,18674,5524,10722,0
176032,123784,10391,11463,41170,16721,13062,17404,0
27075,6261,5370,9547,10470,24809,20506,21260,0
2025170,798938,169303,58632,35549,22761,35135,67428,0
1969303,112476,33718,78918,13859,12947,8201,19984,0
106442,28089,9179,8716,5411,1356,4982,2574,0
910575,246948,69694,96646,15567,19618,18737,19838,0
1298404,212748,63782,43437,107054,16507,22165,32205,0
807647,476725,45353,100829,38009,16200,12161,28166,0
54724,68054,17828,8838,14264,4479,4165,6570,0
1702322,247946,39440,86986,44143,15632,23167,29701,0
619653,189140,41067,20520,38703,5042,9086,11573,0
152606,55174,15686,29226,6000,2914,8127,5634,0
2029021,1401740,85621,384615,200832,78672,68958,110006,0
950982,2140776,110222,287295,233375,92297,119791,69247,0
130811,16045,3293,5048,1174,767,1511,1049,0
186044,40452,40508,23309,13314,4044,5339,13390,0
1455490,274669,167062,107981,87269,31930,64566,101422,0
118534,17461,61688,6749,14764,10385,4389,12352,0
1270124,168444,32097,31919,45520,54521,13362,9230,0
44051,60725,4231,9521,9748,5756,3803,2464,0
1380329,1142761,80517,133568,87246,132645,54732,101529,0
512533,97185,14097,11690,17807,13328,16073,8947,0
928706,110698,20447,11715,9068,13810,14276,16226,0
1062756,552925,244831,212716,31166,37058,58763,78580,0
1162845,158103,55174,79521,24639,9184,14182,8703,0
1108714,1261155,232294,70133,145243,47748,103159,63618,0
431523,32875,31779,5289,15257,12058,7894,6187,0
1335403,404495,60966,44205,38498,36134,38470,21000,0
791023,475183,84757,65798,36347,17783,19359,28842,0
1356036,256642,106497,40141,38570,27267,36055,31773,0
934513,552024,120283,46813,85753,58698,21699,26204,0
106565,88498,95077,21003,18341,9903,12106,13454,0
2054381,714933,291366,87803,35816,40990,59320,78205,0
135551,32096,14634,15208,11034,10702,9880,12133,0
1254350,188968,161794,41646,21439,62016,129769,38396,0
144149,21082,6513,12684,33989,8996,9250,5596,0
104135,101171,11781,474,3865,3581,3627,5431,0
65111,41935,6903,3990,4102,1990,5376,3062,0
1005922,226553,46789,29396,19379,15973,39413,13896,0
1849864,221866,5923,14157,13852,17043,28857,7706,0
29788,62949,11004,3623,5454,1763,5703,3432,0
777908,588713,44659,152740,104909,90039,66708,54536,0
30951,33495,6570,5367,3937,3085,1672,2241,0
1146143,520386,113829,66841,11604,51145,62207,23015,0
817790,83898,32672,5375,23313,9493,21465,11679,0
1858045,920817,17325,25804,16859,34872,74670,19851,0
1082035,132397,31692,35849,21012,16233,26425,11506,0
94087,47049,5158,4209,2051,2670,4658,2588,0
1046458,1036433,201405,170054,62233,50868,41049,44616,0
695577,573537,385780,82498,102119,53976,94399,69304,0
1537210,496852,38255,79079,39786,54220,46186,27532,0
