delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
64988,36280,16241,23857,3475,4366,2293,1354
15336,48979,4403,3912,5259,3280,2091,2342
54114,19314,7061,15099,6645,4902,1364,1267
19582,28656,23132,10961,2905,3257,2045,2149
60738,12148,14440,11656,2567,4983,900,1394
36221,39882,49913,8890,21887,3678,1758,1370
38817,18912,6314,8264,9959,3678,806,1373
18259,8026,7706,10747,3844,2056,1974,863
7804,23230,31019,136910,16951,4290,1818,405
67482,39614,58239,135696,22665,3929,1380,1405
553487,119484,16442,66519,47108,4906,1936,1980
85222,30393,45790,27227,14302,4982,1703,660
26229,90199,70948,10176,881,5553,1453,860
86937,52056,4580,32109,18853,3715,822,668
537908,101870,31764,108472,34996,4560,851,1153
133521,29536,28719,111782,79033,8483,1025,1569
522044,84538,31402,23248,11320,2232,1133,1525
45834,39277,21511,102186,48336,4207,458,2230
12949,32013,11340,3012,5976,2957,1099,804
85816,37807,6187,32793,6628,2837,951,926
63054,38132,21410,22337,4557,2851,1339,517
51646,33217,21838,23988,13042,4166,1370,751
27140,38965,21415,114773,69836,2152,1136,789
8464,66657,26742,19833,16315,1673,1959,2814
14427,39117,5169,14297,7552,5570,952,890
9811,47734,13202,11974,4565,4403,1249,1347
50931,61110,17429,16069,21002,4035,907,1227
23641,27017,13819,168632,17594,6551,854,1570
122460,25050,5202,8703,14554,1958,474,358
31510,17615,966,13623,7478,4401,1674,626
34088,38008,23130,32663,8343,3585,4633,1486
60838,23243,10899,19134,4489,4448,1051,766
96103,65628,14906,20743,43929,2885,1360,1670
17356,36195,18362,43348,39364,3927,1394,429
9714,15241,1626,18625,17178,2943,1180,667
37340,61237,8468,6871,4550,2053,1325,661
18608,37305,48960,31745,7385,1032,846,879
46078,49042,53825,16488,7054,1889,1473,1560
9969,30289,11837,73661,3925,3472,1051,890
35712,29093,8122,17719,9103,2873,1624,857
36157,47134,22092,8169,11262,2940,1071,1375
25341,20637,39444,9753,3160,1394,3242,1128
94361,9640,33546,49168,3417,3357,2952,922
9200,42162,11806,137198,18143,1338,2046,1337
5800,36562,9214,14971,9620,3267,870,1196
30784,117668,9292,15209,4723,2185,2317,3147
56574,27225,52534,43797,18247,2361,1509,436
61575,42327,48125,53011,32934,4040,1907,727
79524,30352,31093,77985,43174,5466,1061,1654
32057,55545,7051,46508,2348,2208,2081,1014
89966,85523,34262,9141,3718,1540,1686,1016
9179,29698,7586,10103,7182,2170,1000,743
12708,52635,52489,157721,89848,3286,1436,852
20155,30306,45830,145051,36605,3239,1434,838
57281,50864,26838,13141,7248,2763,931,1020
45546,111020,105617,37582,23464,6869,2759,1039
83689,62573,21225,28120,55122,6766,1684,1034
291376,112624,43973,173745,27686,5796,1675,1966
21624,24214,3909,5080,7011,3484,1778,735
