delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
16316,10985,22467,5193,12406,5479,8022,5430
35369,22627,68475,6872,6989,3894,5380,5178
986827,504584,292586,64364,12760,16668,12572,30451
1278819,105552,19606,28807,21840,10307,12802,14298
1974314,1287669,98147,76296,13681,20958,29051,31792
559679,24275,1288,2384,4688,1130,1911,4392
183255,128620,61345,40874,10500,14930,17283,10374
672330,111635,57497,47027,8415,6405,6482,4425
393902,2142890,248602,85078,88945,81219,105198,65440
822987,185176,39552,35769,45029,11591,26658,8861
1126235,106163,64200,42408,17433,17083,9300,12698
1306315,119342,4113,21137,10559,14391,8960,19974
1474666,600932,487453,23672,22514,45465,157250,32507
2360991,611125,24014,131716,19516,59471,89263,48377
707530,153712,8646,10445,30033,9215,7260,8927
2171449,335965,180667,89807,95442,44512,41612,31963
98053,18753,3226,2658,1030,1666,3432,1535
759850,148034,11476,7571,7571,8032,9956,6003
413185,124886,6628,12261,7681,13369,32384,18890
693219,43697,163869,13698,7460,22064,14791,47753
83181,71038,43498,35044,12184,15591,24390,9047
569966,80096,43821,39214,10756,7995,21437,5925
792760,307213,7771,18207,26560,11093,11829,9777
2238000,352443,34658,49299,31986,13096,11682,29067
61714,92325,16636,14376,6672,1851,7188,7761
1438564,389989,28084,52488,33592,21506,11218,54122
2183130,208291,20346,29192,38746,20306,25038,20698
2159098,1081250,221047,463411,231238,147728,86496,105100
176678,30116,774,2453,4492,3481,3591,3437
286415,39775,11737,3917,3016,1756,2415,3631
65194,69062,4538,3179,6163,3304,3100,3097
2247040,1239448,115008,89825,21781,40776,24428,29354
1357810,537050,31558,64673,24785,72187,73058,21343
33254,7921,731,1620,498,579,2467,919
1411109,574124,178477,16145,18184,49276,98312,16540
1992900,430795,129941,17738,23575,47834,31761,39869
847260,206468,15168,19698,4902,8031,7935,6960
1396753,70870,18728,12008,8988,8541,7910,5363
781656,148321,73340,6604,8329,21555,31011,36285
163096,48951,4039,1192,1802,1510,2654,1800
418466,197408,9177,12402,3147,15377,10175,9150
434759,67037,69735,24273,5253,8681,14229,9384
752749,208816,20998,15264,11128,6158,9132,10717
110784,9671,6247,8650,2980,4029,3693,2336
813449,506297,36174,79166,33429,29723,73512,16364
623932,52566,14356,17265,7925,3075,3520,4591
1109810,226301,112768,45167,51093,44992,10528,15870
1190576,141642,32373,9111,7450,15082,10528,6466
117200,41731,15695,18852,2165,3158,6227,3396
833214,33482,2350,7960,7117,1632,3165,1600
921806,35875,17658,18001,28375,10239,35949,18087
1833084,120537,6898,4313,11469,8611,17932,10266
541527,362898,55347,29139,8573,12715,13023,6537
1606813,87249,46642,100074,23979,10052,31156,6665
220224,32979,3626,14639,2257,3083,3147,2719
650030,42138,21153,13187,6435,5505,3107,4792
947251,518801,207179,14468,32674,53004,82497,38633
187333,19556,12271,4851,6111,2210,1888,2190
1445493,265005,43143,17092,11406,4156,7155,11689
1080083,193637,261511,40104,35991,36950,56135,40770
248875,139790,20132,3998,6738,6269,5373,4819
1016441,887206,9596,7959,34292,31077,30153,11610
91759,42608,12050,3863,5010,2453,5012,1733
431510,91550,86532,31793,21838,14205,24675,10860
1791230,113183,26328,42309,51522,16618,48001,27456
1030724,200289,142339,12019,34915,8848,21642,27700
679563,79715,4463,10313,4372,4424,5480,3139
2247070,1109018,68035,164052,53035,50838,90833,38067
1984688,209113,116319,63625,68414,37346,55040,54334
1878155,360889,67181,12003,35360,27916,41443,40988
316397,23592,3864,1552,795,1288,1918,1433
669975,37105,6576,6320,4167,3687,7133,4730
735930,159409,23656,14030,15548,10686,10894,8150
869452,19536,35682,8539,5235,4964,3143,2683
1321605,108210,77331,31174,19749,15964,11818,17920
1616103,57273,37935,11000,20189,12993,13639,11040
450922,157464,11277,23247,9905,10152,16521,9964
565692,67685,4901,14805,10183,4275,4673,8432
393869,393376,42499,34365,18484,21072,25244,16620
895392,227506,123505,77288,44708,19433,16646,17734
652832,26623,48224,10804,12821,2398,6981,4780
1370582,119847,30530,25005,17347,11985,13319,5403
1225825,145124,21830,10591,7879,12446,16097,6078
2277016,589900,82645,63390,59018,45909,86879,48868
190663,114473,11624,16942,4327,4073,5518,5213
505327,60567,11525,24677,5565,3622,8477,2117
1520506,193692,72136,40955,16019,11453,18179,17494
346783,35245,20490,1777,4101,6071,10929,3448
1821291,113443,47906,21785,5996,15908,14352,10813
531427,77636,15292,33606,4124,10506,17616,8808
202378,142082,13122,4160,14478,7260,13242,7357
912090,65393,42365,35310,8141,7257,10830,11688
610209,264573,50042,51220,31174,19074,28519,18025
2288218,464832,124902,81145,73878,59367,12268,105675
1203635,332714,286116,132995,53241,44727,16990,53624
1876538,89482,70325,59498,50101,15587,22483,21627
1031487,135566,12263,48560,54479,20524,20178,14817
917593,1000455,17163,70170,82683,68269,85539,52262
141207,77131,6865,9823,3480,4337,9780,4237
127293,41026,14883,3057,3287,2789,7151,1837
169959,75480,43758,11616,8557,13498,3647,3013
147182,240590,30660,13719,50246,18738,10459,13482
1122065,278672,65996,82279,7258,10868,15117,17609
1078063,928024,1222278,38458,165587,48403,92313,78693
565071,40507,11974,7372,8257,5739,7167,7628
871757,131936,24016,28896,25537,13853,16058,7421
446931,101479,12048,15032,2819,15318,20963,8076
799943,77384,3999,4433,4014,3321,8084,1976
414816,144537,129500,50252,30621,10885,16796,16353
2184881,1315148,8526,80631,137289,41510,56437,41062
1084329,151994,21226,15288,22798,7491,11930,4277
1480615,344426,30450,4083,14190,8054,7611,7464
633022,175662,72741,38705,33382,15245,35542,11811
582069,85965,6962,43803,12286,15333,6377,3640
156568,32105,19852,5611,2422,4442,6374,2105
1689668,587115,35156,32915,36441,40011,28193,13602
2183788,1908388,177846,107635,240536,28923,74397,47821
1985362,568653,372837,179122,46662,124932,69762,40248
2321291,447409,241969,51010,36617,35180,26370,29193
471239,45777,21823,10432,5319,5093,5091,2291
24484,25450,11986,7512,3506,3028,2601,1328
19848,63883,31192,17229,10086,9739,2952,3858
11861,42425,88586,6757,8674,8032,2313,3904
26613,55678,13425,14831,3769,10850,7421,5289
1731005,216568,36564,11338,45837,22134,29126,15992
209139,67400,15481,2947,5760,4898,2786,1078
699920,125040,23220,21584,9217,10417,6195,6104
721960,39879,7973,4182,22628,4302,7398,5685
433195,79471,11084,2229,2070,3358,4983,2944
661306,139189,33393,10648,16512,15181,16577,30780
2552450,797722,184332,27762,24259,23609,81358,98409
496099,216531,35497,37680,28332,8844,26852,11028
826620,277668,54275,20087,35353,21603,18324,8572
2613185,438901,17358,118978,15292,54913,21867,14069
1019016,1319715,93537,39850,168582,32469,61940,26391
173524,31391,5973,4190,10238,6917,4772,2764
385999,73910,18848,8209,7239,9268,5254,5599
1611690,216468,43180,41346,18124,23547,16630,5906
892611,189396,21422,41522,14234,32856,13690,16915
403832,179693,20666,25523,32997,13398,20722,7142
600142,531568,22543,43270,35201,27292,36617,9884
454249,189818,72974,48302,13714,10550,15106,15997
455048,6448,2517,8512,1188,1852,1951,858
3207158,847680,250862,227597,63028,61966,96733,43402
77601,125697,34202,35141,14821,9176,16071,7073
