delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
73988,59661,33545,3928,2633,3199,1996,1639
16916,41623,38823,14228,3337,5051,1656,769
82180,23497,7957,6261,4791,3588,1022,1678
55198,43489,19960,9562,3984,9073,849,730
106914,2905,1471,1640,1398,404,744,216
33491,23419,13410,4360,10269,2597,1443,703
50422,11919,12575,6030,10118,4133,1826,1066
413237,55626,14694,1557,6441,6615,1528,2990
921526,424485,17825,17267,19301,12946,4997,2589
34179,66132,34298,8935,5407,3311,2068,3746
275774,119241,81123,100973,23444,37241,10768,11824
718560,395245,37049,56414,36945,21986,4542,444
655531,19763,5341,7174,5277,4720,372,311
1052689,175047,30438,22146,6710,3208,1432,652
752808,15361,16455,13143,3036,5285,1604,1101
554862,190240,17559,31275,4112,8228,4320,2676
173227,143068,50215,3052,7524,8155,4678,3529
899819,116780,15188,77149,30905,48144,6539,2352
480200,12141,2317,1870,918,521,184,89
500562,146744,9060,9042,7470,3884,3340,2346
143683,17532,6918,17711,7877,4880,3730,1393
175159,61202,11506,8261,6907,2097,4974,2640
123727,126441,77855,50874,16328,4979,4572,2776
971149,158845,12021,62299,22489,12884,6368,4482
79717,84405,11773,11323,13982,2142,3489,2193
78648,46393,12960,23157,17173,2257,3565,1246
70283,20045,11826,38466,13588,8235,3316,2107
9462,24448,1144,6154,5836,4016,3475,2701
23619,15652,32617,6446,8177,3964,3001,3286
74236,43769,9126,10106,6405,4277,3405,1682
94478,55790,14519,23924,5210,1790,1158,1767
32107,64522,14823,11931,14694,7602,4151,1205
82296,42977,51371,17041,5799,5748,2519,1511
29244,12171,56488,3233,5498,8931,3128,1833
