attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
4,60,1478060,238001,14837,102212,95297,26123,8272,5045
11,66,1335212,121635,145839,55247,180312,40304,14222,8361
20,67,1047686,123231,13287,55496,59967,16828,3505,2525
20,88,2055153,117204,72593,40224,34033,16295,13115,7552
17,94,2062709,146825,50369,94426,17274,17770,18724,3932
16,88,569246,57969,7441,9675,1868,6173,1722,1048
14,83,890838,303223,19903,55342,67500,23566,13912,1337
17,77,1320415,221896,46104,67320,82014,52936,20780,2291
13,69,1384424,94770,12467,18697,9477,2439,2585,892
7,67,1214713,389287,44828,37781,9332,8709,5297,1620
1,70,1204093,195042,38135,37638,34407,6694,2411,1006
