meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,result
62 ,72233 ,30612 ,12153 ,31605 ,12153 ,7544 ,3779 ,1944 ,1 
63 ,35854 ,23809 ,10089 ,28668 ,10089 ,7674 ,3751 ,2143 ,1 
63 ,40291 ,20088 ,11006 ,25513 ,11006 ,7669 ,3712 ,2209 ,1 
66 ,37426 ,17077 ,9951 ,27479 ,9951 ,5748 ,4338 ,2320 ,1 
70 ,38432 ,21204 ,7991 ,47587 ,7991 ,5375 ,4591 ,2002 ,1 
72 ,54470 ,27945 ,7883 ,43181 ,7883 ,5975 ,4148 ,1991 ,1 
74 ,39802 ,23431 ,8334 ,44716 ,8334 ,6656 ,3878 ,2038 ,1 
78 ,31286 ,22359 ,7384 ,55383 ,7384 ,6751 ,3355 ,1875 ,1 
78 ,56352 ,23083 ,6133 ,50851 ,6133 ,6845 ,2823 ,1734 ,1 
78 ,60047 ,24014 ,6729 ,33593 ,6729 ,6283 ,2367 ,1838 ,1 
80 ,57434 ,16069 ,6597 ,45298 ,6597 ,5818 ,2112 ,1974 ,1 
78 ,57837 ,22044 ,11135 ,40663 ,11135 ,5056 ,2579 ,1904 ,1 
76 ,75149 ,22521 ,10443 ,30552 ,10443 ,4475 ,2455 ,1827 ,1 
74 ,65309 ,30023 ,10860 ,27192 ,10860 ,4109 ,2060 ,1567 ,1 
67 ,187259 ,47870 ,16970 ,24839 ,16970 ,5816 ,1968 ,1516 ,1 
57 ,192063 ,61805 ,19276 ,7770 ,19276 ,4655 ,1896 ,1323 ,1 
48 ,219968 ,71449 ,15577 ,10090 ,15577 ,5191 ,1910 ,2080 ,1 
38 ,245709 ,72171 ,15997 ,12014 ,15997 ,8504 ,3484 ,5094 ,1 
30 ,289297 ,66711 ,18883 ,13175 ,18883 ,13271 ,4701 ,5272 ,1 
26 ,434607 ,88481 ,20101 ,38695 ,20101 ,59930 ,12950 ,10607 ,1 
24 ,896544 ,284814 ,44593 ,59725 ,44593 ,129305 ,60701 ,28480 ,1 
24 ,1058704 ,276898 ,45289 ,63576 ,45289 ,143859 ,63659 ,29800 ,1 
25 ,1201477 ,286290 ,46741 ,63814 ,46741 ,143253 ,62617 ,27101 ,1 
28 ,1456019 ,286691 ,45881 ,64108 ,45881 ,139204 ,61828 ,27298 ,1 
31 ,1398684 ,246060 ,38677 ,38630 ,38677 ,90900 ,53389 ,21837 ,1 
33 ,1289393 ,80427 ,17334 ,26406 ,17334 ,24613 ,7470 ,6387 ,1 
36 ,1384605 ,127495 ,33153 ,26698 ,33153 ,10279 ,4829 ,4634 ,1 
39 ,1247327 ,119168 ,33172 ,24452 ,33172 ,7590 ,4308 ,4391 ,1 
42 ,950630 ,114384 ,30617 ,27020 ,30617 ,7409 ,4263 ,4246 ,1 
44 ,745383 ,116162 ,29280 ,25951 ,29280 ,6889 ,4175 ,4316 ,1 
46 ,1049897 ,103279 ,36017 ,19256 ,36017 ,5324 ,3079 ,2748 ,1 
42 ,805707 ,60527 ,17799 ,10898 ,17799 ,3902 ,2079 ,2148 ,1 
35 ,841129 ,81049 ,17500 ,9862 ,17500 ,4442 ,2319 ,2220 ,1 
26 ,825722 ,81617 ,17408 ,5112 ,17408 ,3660 ,1964 ,2010 ,1 
18 ,1099326 ,97777 ,23966 ,8424 ,23966 ,6325 ,2568 ,2441 ,1 
11 ,643866 ,138312 ,22800 ,29167 ,22800 ,43167 ,39914 ,55661 ,1 
7 ,780982 ,185977 ,39893 ,43149 ,39893 ,64392 ,45739 ,58830 ,1 
10 ,888074 ,163085 ,37156 ,43020 ,37156 ,63681 ,45537 ,58706 ,1 
12 ,968158 ,189338 ,39860 ,44800 ,39860 ,64368 ,47616 ,59312 ,1 
