attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
0,0,67957,37768,5732,4082,4790,3703,647,1072
0,0,450178,130328,14526,22434,9169,3546,1819,713
0,0,1789424,132413,48246,269163,99206,216420,41712,16871
41,24,392555,70535,8063,16866,2651,6683,1175,1556
35,3,737388,88454,16536,3198,4513,2895,2171,1257
26,21,776637,11510,1466,3537,1705,1218,930,490
26,38,1039349,25258,6374,8436,1993,872,1432,924
27,51,2332995,12085,10466,3383,4978,2690,988,435
37,74,551396,15568,18404,10264,15833,4001,3590,770
35,70,708912,157312,13523,31922,11032,8348,3895,3282
43,69,614594,86584,50782,16898,35005,14118,1400,1169
27,56,1799343,217535,69501,14075,14272,3311,1175,1168
30,57,169953,37608,42859,11925,11463,14673,5787,3782
35,70,1386629,148998,37446,89795,70072,20666,4404,2784
35,83,25756,7005,7925,4112,2638,1761,501,283
0,0,243973,36086,3549,3657,4330,2913,1023,489
0,0,1717424,48414,78816,20877,7704,22837,9990,4397
0,0,427209,217167,11210,28649,17706,17461,31975,3653
60,88,267726,15836,10527,7933,8034,7744,4876,1790
60,70,1745299,1117597,421014,61428,161382,230132,16674,11346
51,57,738249,122254,21784,8702,13631,11131,2058,2638
34,35,210885,151915,22132,13550,9976,7641,3366,2498
4,26,2073673,174233,29929,21523,19039,11223,4683,2616
8,37,291487,24626,4004,27892,2555,9671,1775,1285
1,29,336116,106259,9162,3456,3768,5217,2438,1158
30,40,613556,38695,26548,15080,16740,17696,16508,5292
30,47,246415,56886,53032,5775,21541,12577,5377,3231
29,57,189618,82165,25396,3316,4428,2555,2396,1646
13,64,184124,16037,6771,13982,996,2248,1923,820
13,63,97950,102371,32817,37705,13132,10966,9349,12841
27,44,652903,71629,908,7517,7865,3255,2263,1301
13,27,552800,253982,37048,13606,13190,7375,8704,4207
21,20,556169,209707,49076,19214,20156,30705,22744,9924
7,17,357292,127596,36977,4171,10725,7610,6805,2842
17,17,1648848,283242,30048,64739,24231,35145,8976,7511
20,30,115661,40732,36050,30713,10322,12152,5449,3948
29,35,646198,582269,115445,298214,249784,88528,87885,21149
47,53,2298409,877227,268520,206152,185748,94545,127287,24938
30,53,707250,76039,12055,11740,7324,3221,2035,1908
8,51,707221,120048,87428,35441,16133,4796,10035,11180
16,48,702422,84775,20735,19141,11814,19389,25455,4908
26,40,770687,240931,33014,24297,31102,41021,9646,2065
34,43,1365905,55423,21714,5508,14001,4065,9715,2155
44,26,358277,250678,35654,6604,4917,14105,5321,6523
21,20,1825285,220619,41220,2299,12214,7994,6284,1558
1,35,873493,277789,58045,193216,39581,10327,11110,31408
1,38,2153376,257162,51859,160326,93997,19741,18117,17509
1,44,269586,74669,17230,6397,8215,6009,3352,3982
10,53,227195,82173,25987,15717,6114,9128,17808,3006
37,47,1257540,46373,14158,12549,21879,10246,4008,2578
