delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention
633220,41880,31995,29568,12960,12455,8632,3974,70
58756,27618,9058,8839,1522,2917,482,636,64
29045,19565,29444,48039,2354,3653,2456,720,57
502567,7368,36184,54846,13900,9817,5517,1338,60
13261,31735,11053,11007,11840,10474,3596,2288,64
15517,66419,9709,9402,9299,3583,5024,2897,60
24452,28514,15942,17968,5161,11420,4292,2506,74
10066,8492,20276,6779,5210,7384,2207,1556,80
33157,30673,6238,5318,10355,10816,3593,4942,83
18344,18856,2558,8234,9993,6461,2059,1490,97
216918,44788,10513,9198,9200,5777,4031,2341,91
240546,123376,13169,22077,10164,8248,8790,2680,70
1969640,34346,7287,26430,9422,4461,1954,550,61
42700,65108,71466,16703,9722,3517,2123,2775,48
486918,19717,33282,28130,12164,13201,6974,3364,53
678137,193360,24967,11853,28926,7184,3942,3366,48
144341,6121,520,238,222,283,63,46,43
265278,89671,6634,9680,3736,8771,4838,4365,56
2649493,374880,13247,7073,12353,15339,14439,3749,43
1238081,36497,10864,6324,4566,2081,2141,476,44
94563,51889,3272,3398,1068,3348,851,255,48
294613,88182,13632,13137,3768,5320,2110,1596,41
37683,12734,16495,6747,9671,6931,2030,656,60
108282,96160,10678,1806,6859,7182,2866,735,61
30296,9299,82697,11687,8452,5471,1373,1251,63
50004,41599,16304,4466,7791,3332,4488,2441,63
16050,22019,18910,9671,15384,2844,3231,2177,51
196003,28943,11124,22298,26192,4522,6646,1956,51
651118,66047,29296,14254,3290,7708,4471,4957,54
73393,11142,27560,7987,2017,7101,3130,3752,63
7922,24764,5835,2749,7557,12685,6588,1019,80
9686,32566,7794,9142,4258,5702,1953,2618,83
909278,345438,15991,33933,53178,9582,5835,3757,69
268000,103994,18353,12303,23319,25190,3660,3694,64
97235,26132,3493,19255,3684,9525,1526,3159,69
36854,25278,8971,1873,9398,11383,4379,2980,80
68638,19085,24128,1512,9330,7458,1432,3890,97
21552,42715,13378,19629,11572,7235,3035,3760,93
27469,30202,13098,23146,8439,6616,1781,1695,84
27189,34701,16904,10401,9352,1848,1985,1272,66
72472,35776,10025,10687,13876,7060,4710,4042,69
15553,12650,8213,4510,4199,4503,5289,1190,60
54999,10555,12131,7770,14203,7228,3578,798,80
15574,6701,19347,13155,8874,7500,4710,1787,83
16774,19145,13392,3809,1948,11718,3368,5220,100
12999,4221,7969,21077,3315,4560,2049,1322,97
48081,13243,6335,10024,4248,4667,4903,2718,93
9776,30568,3927,1854,7882,5944,3117,1177,93
7460,14271,28936,5772,4057,3488,2807,2978,80
30076,22078,5437,5587,5235,8325,2362,2380,87
16967,9655,12152,13619,2954,5103,1363,3786,84
61573,33387,4251,1759,2358,1239,907,641,69
2767,3534,51414,9103,8476,2375,961,1737,63
12146,48501,12434,15124,6870,14280,1636,1128,60
13852,10669,28840,16218,7531,4224,2295,708,54
8249,10677,24952,15677,4773,4587,2888,1280,64
25565,22748,11614,8475,7883,6224,1786,1456,77
91297,17783,20421,7802,7922,4276,3403,1041,70
22390,13327,4806,8778,4910,4269,1795,2657,78
17742,16150,8254,7784,17341,8721,3046,1561,88
14896,18522,35273,2157,4087,3649,1382,1303,81
33582,23830,6679,2917,13996,2992,2260,1608,78
4359,25577,12033,8913,3255,2810,2991,1261,64
25939,22349,28025,12185,8997,4568,1713,1231,64
12198,15247,18734,5760,2949,3857,1468,677,61
9871,28588,42592,25002,8778,4109,2154,1040,56
22844,24366,41743,25861,6504,7037,1965,1355,60
209293,35235,25057,2575,2452,2142,980,386,53
6459,33718,6996,17044,14358,3331,1716,1992,48
6987,29494,5154,1237,3970,2636,3095,2881,51
32364,19394,20674,15688,5113,6156,1893,2593,54
24939,19804,5452,9671,6832,4279,4176,1944,66
20830,27862,11549,9969,2212,4050,1997,794,67
2353,46580,7563,1600,11371,3173,868,1718,64
119288,57745,25527,11394,21761,2473,1670,1449,51
50112,8315,15994,6212,4324,2768,1546,880,48
7000,5806,26798,3666,6647,4585,1394,1244,53
