delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
27090,26240,1190,6988,2320,3227,3591,1814
8410,22197,858,13160,6546,4892,2040,2268
421587,186150,14716,18825,16210,3557,3303,1800
37788,16588,2108,7279,2675,5578,2721,2221
206484,21699,12019,7656,3125,1210,1212,616
90114,7421,11172,2343,6706,7374,3011,2585
5534,13315,14254,4749,12907,4328,2411,2341
224800,23648,481,3895,1789,1514,1641,520
48525,15773,9325,2281,8742,7218,4559,1939
20775,14571,9375,9440,3545,5004,2024,780
316586,94309,14740,21130,7813,9014,2549,1080
22636,10865,2444,6403,13296,5554,3294,2419
14658,9618,2890,8725,7059,6479,4606,2342
64459,47418,1493,3410,4249,2701,2422,1355
15691,33094,3752,8083,6340,7224,3681,2825
25911,24399,7121,15297,5674,5013,3347,2626
101094,61459,6018,846,1347,1549,1717,761
5299,9661,11479,2652,3844,1422,1440,1672
27524,9336,13478,6205,6506,4608,2490,2280
18213,10167,11130,4735,6173,4237,1697,1798
17283,26982,2113,5814,4779,4468,2163,1283
53814,62007,6935,12515,13752,9607,3036,5295
454155,371258,26426,13567,3265,6077,4008,3882
18250,5383,8600,4030,7023,5215,1836,2528
49325,13961,13216,6380,4326,2370,1930,997
2047303,62222,41131,12070,14551,13418,2660,2091
292778,80059,2845,4436,3564,4924,1390,611
25190,8306,26385,3552,9914,3543,3474,3007
11970,22582,3310,3663,6520,7864,1296,1847
13114,8870,6437,2990,1288,4580,898,2000
13974,17074,10392,5421,10662,9799,4775,1161
50963,28197,7343,3076,5148,6678,2559,1687
11774,8070,13513,4055,6701,10008,3244,2136
10197,28657,9993,1503,9063,4830,3118,2281
3152,33681,21978,8133,8905,6128,2799,2219
25503,8017,20831,8156,6467,5569,820,1666
21997,13935,9418,6754,10137,3165,2270,1392
5992,22831,16317,710,9250,3096,3958,1467
70059,15419,6460,5876,10068,3220,2251,5056
4083,22041,17200,7456,8995,3972,6978,4340
13500,9439,9745,11581,11965,3599,2079,2974
2879,35839,7180,3237,2018,7165,5567,1515
5261,19315,17293,8633,5122,5199,1580,1561
4867,17214,1841,8706,7209,4119,4236,3820
13197,19470,33478,5321,17268,2194,2299,695
150125,7707,3245,3602,11033,3788,1622,1994
1650042,108394,26632,2027,4037,3527,1706,570
1338080,9549,1891,5905,1019,1176,117,207
197410,21411,75406,8279,21870,6281,3247,2865
95829,55082,27693,14644,11676,15156,2685,4371
90701,13770,7823,3886,1848,5750,2010,1713
540687,75242,31843,6999,4556,4931,2848,1688
70365,65565,31059,5647,18222,8461,5176,3159
447857,144983,171751,18849,17397,33170,11521,10341
718133,44865,43423,13838,8513,3545,4055,3691
74153,36300,8409,9623,14254,5046,5465,6376
14493,30304,3060,8154,14351,11186,2788,5202
60568,19408,5398,2081,6734,9553,3818,1372
41416,8746,4792,5824,2428,3761,839,753
23845,17689,4618,5627,5082,2637,1574,3370
98941,30007,45280,20998,4596,3092,3398,2113
776818,120744,21704,3927,7468,2282,1002,1627
1009241,111552,3343,13688,11637,16941,6364,3724
28259,64676,8673,15079,1531,18978,6190,3106
226428,388517,14542,62228,110538,51954,9728,9120
1555066,103749,33049,34932,7885,8363,9526,2112
89383,27667,32977,9622,16594,6548,3291,2470
48207,16442,22155,25826,19361,5476,3395,2702
131338,142011,32428,20794,23199,11393,17288,4385
1776883,94164,23408,24225,22932,9650,19356,17218
36100,68006,12320,92370,8935,32486,15399,15788
622959,102106,31871,14024,19061,26582,13054,6175
644893,76279,13583,35964,24896,15850,14375,8950
379942,82998,47289,4443,28262,27361,15670,15956
825487,127246,8705,12421,38546,23177,18627,22518
2207890,35994,16180,7726,3729,4604,6834,3852
822395,143278,74206,43870,24295,36571,20171,22529
432629,140349,20535,37152,13257,17285,8458,6835
158426,17632,9936,4908,2288,3905,1286,1264
33715,48321,12231,11139,5136,5689,3040,2020
9266,88556,11361,22506,8673,8028,4882,3512
8522,11111,9416,19287,9466,6684,2197,3516
24377,14744,5491,13481,5398,7102,1984,6132
250871,32843,1125,718,1053,1511,1107,554
33160,87311,26574,11501,16593,5293,3842,914
16685,14142,13675,7143,8079,6564,3867,1944
56730,27948,13095,5656,8060,8499,4650,4028
57275,73102,3402,4606,1660,1884,1842,665
15405,48271,1423,1050,5979,8268,3053,4457
1732228,542320,201870,42335,60909,41405,17307,24956
46001,64789,7546,2789,3828,2068,1016,1714
11780,2091,5316,4520,4696,5116,2907,3599
41058,8014,3888,15611,10243,6065,6093,1368
63315,32075,2318,2722,2564,1300,1001,1039
10977,4549,6603,5045,9652,4424,3428,1022
11289,31122,10616,2591,4287,4204,1729,1286
24650,4741,2881,11679,5929,3857,1107,1424
27938,4305,2315,7360,3592,2340,2250,828
71207,4422,2415,5991,1198,1368,471,336
9534,21548,12032,7250,12080,2901,2434,3427
401283,240012,7977,12122,8806,3767,3344,1981
138468,12170,10208,6303,2872,4421,505,711
36603,66779,9141,11782,9542,7786,3161,1479
7252,9134,12214,2907,8677,6972,1537,2333
38033,27729,4718,21331,4221,10263,2691,3546
779436,42984,1504,25663,29084,4533,11462,4651
1396264,66132,6267,15201,6804,4316,2407,2270
797329,202759,19508,23001,17596,14189,18585,11445
510495,59536,27965,47584,38503,16186,10058,7136
603973,135843,22972,18649,13863,8354,5211,3824
415128,64028,21048,11494,8843,6105,2969,3886
90044,7072,2642,2056,2549,761,615,514
489143,33043,9117,4716,2792,1205,863,256
451038,57737,32134,22894,6872,4818,2753,3570
59272,17251,184658,11928,13617,4385,1566,2486
2393499,728072,237862,30748,17729,58572,10065,5901
341479,40119,4414,2677,1758,1747,1015,459
204989,30242,3464,3632,1062,1043,292,173
779574,39795,30160,5539,4579,2662,674,1039
133234,7583,410,3478,2939,1273,356,222
63976,11500,3139,8818,884,993,737,687
678564,19208,11960,7439,9207,10193,912,850
678303,176070,21518,52687,80546,60844,10525,9770
204364,8727,28945,4062,1725,1091,570,722
60000,103155,2399,2776,4076,2197,1346,1161
184482,42287,4175,16539,9145,7688,5228,3806
100953,50207,85276,2050,22906,7303,6985,3328
994254,93709,67539,89113,9737,16382,4992,2903
220518,22858,21384,13514,6255,8774,3033,3822
216943,115117,9098,12498,4242,9389,8363,8892
87164,53723,25052,8046,19307,8705,4906,1762
144347,46838,18209,10037,8087,11122,4803,5036
208640,38593,2407,3219,3534,2051,2288,2512
40663,43894,21669,13612,6624,12055,5706,3259
582302,157847,15769,18967,15667,9040,15505,3251
8203,66697,6342,4639,5787,7877,5259,7360
4081,21877,24160,4025,5738,9137,4281,3247
2934,33655,21221,9606,11056,9190,2912,8070
20386,28387,48816,3925,5493,8316,4312,3527
47784,203154,62776,4101,5461,11461,6532,4415
80920,140475,108941,16914,7361,8851,2276,2515
257481,31086,31222,4551,8354,6373,1844,1726
160237,7307,10734,5504,1985,1547,872,702
153701,139314,16245,24155,6053,6423,3666,3043
168973,100590,16071,5564,9669,4991,3590,2484
60844,10138,12482,3418,4572,4904,3290,1087
82979,156118,4536,6779,17675,5184,2111,1832
70492,34262,47578,3387,15364,5487,1827,2032
103035,31750,35365,8455,45685,5150,2567,2641
26619,37020,14928,35728,2176,4648,3550,984
18514,19846,49417,10627,9705,2441,1065,1849
45932,25314,12379,9853,21357,8659,1448,2352
4853,4283,16341,6050,3722,4359,2409,873
10484,25670,38047,21900,5147,3665,2302,1490
41139,25745,25118,17550,13618,4882,3346,604
57274,13113,9106,1588,4065,3423,1291,2380
253207,4152,6560,2033,2753,1135,825,564
16368,14922,7419,12555,14892,6173,2753,4575
13282,1496,2687,4428,6761,10058,12207,5066
621459,34799,10710,2053,30651,9576,4636,3719
1158616,85928,11950,24899,29635,16965,9984,6420
491929,19987,10677,6888,23421,2532,1123,2753
1881140,71720,26326,7784,15197,8423,4847,4943
22248,38652,34407,12497,3609,3807,2427,3476
13510,29878,22917,20586,3985,8531,3833,2911
