delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
85489,3573,5619,1538,5602,3739,691,411
19500,159975,7839,27646,14884,7505,1712,1120
373474,82772,22526,10889,17076,5827,2556,1423
246181,30957,5871,32017,7156,10866,4290,1042
350951,37347,10049,8955,25017,9357,3743,1322
632169,236045,21587,96455,51771,24686,11173,13103
73589,30077,12025,11014,6978,4663,1915,400
34365,27880,7098,2813,1444,1606,1041,800
698031,271795,62790,80196,63962,29296,11883,3877
1957095,337200,28956,42540,41766,9986,13690,7837
710915,166232,110819,37032,50008,64351,9197,4420
898722,216800,52519,41153,41091,53830,3780,3449
1985541,110738,23126,40566,22363,55040,5582,5132
124171,35673,21100,44458,10976,8396,6105,1137
1088793,1290843,236307,190110,30198,34123,14758,4484
1447397,183693,29611,71389,42137,14078,22248,3224
1894904,258877,58347,69548,69172,28704,25056,4686
518073,178291,12450,12734,16112,5921,4632,3639
442522,71818,10584,15083,14005,5773,2312,981
2040621,378726,35723,50136,48947,46752,12309,3819
767649,437263,38286,195259,15255,27634,11610,8316
1993600,625605,339721,431816,97370,60787,28868,14754
320429,208773,87433,46875,21553,32006,18435,3046
2556906,163689,103353,62806,30358,27773,16348,7424
3260005,634740,538706,182599,307703,159416,78327,14566
326809,40332,76239,5276,7186,12909,2625,1021
1829611,849617,59952,63180,39203,57316,16028,5676
517614,78447,2452,15632,6174,7329,3561,1162
747461,671412,257391,331553,191224,151136,67097,36631
968364,41166,115171,22700,186381,11845,16323,8112
1193058,214222,53483,42986,38146,20251,12953,2246
608062,763426,139926,65989,29024,33126,11065,10940
273977,70410,13613,11965,11805,7699,6141,896
901052,145079,56665,58837,77025,15626,16908,4123
765665,248187,186157,26349,53967,26223,10261,9279
539496,186302,41693,91028,50703,17050,14900,2782
99276,29534,3980,8638,4010,3975,559,780
653971,272501,84302,87166,22692,37416,13823,2705
878687,330087,52854,40714,43247,23706,17803,2862
1768394,35774,28852,7969,13886,5055,3150,3292
105793,44047,2597,4811,5985,1424,1340,286
581159,273780,131704,10440,73740,27090,27617,5175
506181,28851,38040,6565,20639,14672,5577,2066
803194,45356,12035,8493,13528,6857,4479,1198
307974,36229,31819,5812,15314,7633,4314,1733
459614,166751,148170,78717,34453,44442,13064,4968
511918,37879,9580,26457,8384,5096,2592,2052
449639,438776,97126,28548,47050,27648,15626,3668
1272246,364520,227807,29746,38264,22479,10346,5058
1114545,42691,9617,25813,16261,5064,4070,748
1851881,370730,59744,69866,81173,44326,29750,6277
176040,12412,2418,5080,4566,5348,3042,594
1189590,445568,134781,89685,75579,26275,21130,5537
202246,116510,23896,15963,16376,13734,5920,989
961633,586405,76767,79463,51067,22532,30062,6844
606653,49057,14002,10612,5742,5519,14299,1033
564915,94033,5285,4524,18445,4841,4273,1404
980005,48930,12384,7446,5665,7007,2183,989
800201,512994,151707,88692,63489,24712,16211,10121
455827,42863,39403,28321,6498,7737,8022,1099
847957,94737,143340,95400,113843,37797,12951,7156
559591,169840,35189,89161,54620,28309,12843,4409
1676341,670824,433774,428341,196529,54133,27030,22789
2204769,539953,65312,99099,65536,23749,20269,5790
1770585,222611,116564,159979,18562,37043,7190,5736
887261,131264,142199,26703,54715,52078,16428,3737
817379,165271,54341,73583,30016,25611,21074,3063
176580,100114,16621,31494,6020,8241,9190,1338
1457745,201340,207837,58799,63785,28785,13847,3575
323963,82489,17836,39428,11603,2848,6291,2219
1570366,489041,138800,49567,19884,19798,23281,3624
1221366,256010,39631,28689,19041,35795,16977,4282
1490964,393752,259101,79409,113641,206191,65043,12563
2282234,246673,372489,53832,34347,34928,21870,10181
810122,114832,23317,26234,9636,5900,1859,2191
758258,57100,12524,31043,22017,8338,3136,982
115440,45226,33991,42861,11915,8329,1932,1340
842896,50023,9811,16464,17532,9438,7670,2699
509367,367096,53525,39426,17920,29664,11658,8292
562655,62916,23844,4402,9578,6081,2512,1157
898052,315878,23881,70426,47548,22509,11453,5209
829162,674033,32735,32473,42177,41452,9674,3748
358389,45511,25478,5963,18025,8279,2560,1870
415106,92341,62574,33422,14064,8791,4928,781
453183,375926,68771,46560,72217,24546,17908,4426
426497,68635,10477,19406,16903,13248,2742,1275
75655,138091,6034,37936,7752,5187,2773,1066
1062681,484398,39570,151452,22086,9539,22211,5254
338553,449675,57903,35295,18922,66190,12069,4799
2902306,777980,96117,231504,209958,202142,56654,22794
1559339,326807,26689,108100,24198,27087,14370,3698
659831,951730,91248,77414,104353,28598,19417,10423
1026161,480642,22371,15366,62913,50396,72310,4168
1022540,18159,32785,9335,10301,8880,14804,2710
886061,48839,4603,20281,47450,6167,21709,2575
2114140,364519,71741,102173,190540,45659,70399,7430
2835828,100081,83120,136791,110096,59189,91947,3976
2048465,240010,146707,169052,78161,30325,79291,6788
692688,15617,1090,12005,11560,35177,3326,1877
171816,29423,797,2032,6671,5781,1577,578
85160,13053,15457,19068,20741,39960,3593,1810
583152,214774,124384,63670,27661,60544,86822,2360
610633,125419,45714,125065,114477,64834,45520,5767
739032,57185,22316,30660,16217,12245,22336,997
1487249,166594,28695,9101,76668,24849,144751,8963
779879,253180,74547,70033,70027,51958,23871,7299
1421834,506511,77483,117277,54735,44646,123585,6524
2190453,360431,20355,45323,134062,35326,143263,7170
1097478,82620,25194,20126,8391,18532,22010,3869
988205,63898,39715,19701,33152,9850,5214,1462
1189777,86585,28289,5891,22927,6174,5302,1465
332501,133341,21601,38566,24614,13513,8599,3503
2588120,10386,50562,89654,159737,40492,70113,3869
750029,132845,9167,45648,9073,18320,5360,919
3063289,476181,184548,55743,41707,43531,52139,4854
727404,82431,32675,56326,36009,37699,125409,5036
83546,138928,6401,13232,18054,17857,36008,3141
962075,30909,49536,8259,10606,18039,26987,3195
747049,318570,102015,95650,43296,80820,62785,48216
1205876,27886,60506,47867,41598,48285,7037,8666
1192393,180547,29502,60236,34343,82631,12744,7172
215756,13513,9530,20556,22150,4620,2242,606
2840558,138704,24472,19277,16322,14182,11871,3076
75467,12133,5240,9201,6051,2877,2255,490
738292,29180,13265,9444,17455,27137,10968,2333
1612175,164513,46325,185505,35988,70497,55272,6027
438122,3271,1707,2545,6323,13717,2712,447
1985590,371531,57227,88492,94565,85766,98663,12912
2029769,118019,46720,96137,104653,114838,12594,10378
74903,9150,2885,3723,1509,1262,463,277
364155,111724,29501,3610,10336,9713,1059,416
257776,17066,3261,1810,1070,1045,798,188
715237,19201,2995,4965,3194,1260,4097,499
1931350,185548,25509,45483,62510,33942,58613,5092
415047,55364,13077,11250,11124,5681,13297,2867
1243994,31339,8011,9918,25561,14108,20665,2126
1568512,92741,26372,47046,45657,13863,11660,2429
580686,26327,4016,15988,6489,10663,23170,1556
1094812,174931,4239,7933,11266,15850,11022,836
2221910,72735,5506,20115,9353,14968,10810,2458
548856,168913,20179,45887,48880,8357,6937,3756
342582,6840,2076,1244,6266,3998,2119,418
955423,41332,16682,15058,17713,17875,8974,1900
1055734,42551,114594,86107,118884,90122,44730,8234
228720,35925,523,6168,5621,4513,3597,370
1395492,32200,36191,10282,24035,16848,32048,1478
136958,99909,26849,52545,14649,10650,3650,1075
850956,62323,27073,29135,20138,5510,5589,2168
1373663,31501,7788,8846,45155,25259,16002,1059
1020492,59163,8428,7502,44959,6532,9311,1869
400699,17031,3857,2117,9965,2151,2448,494
560460,118024,12024,29377,9937,13346,13005,1727
485761,21764,7715,1719,6729,1822,2296,519
226123,234808,36062,11026,9537,14565,8418,3163
51583,123378,49086,31671,24606,9609,3668,1331
279504,71474,51962,22539,23353,17552,14058,3057
1378682,150052,51695,131505,42280,62625,67020,9374
737645,124456,12007,25121,18186,17342,17084,1573
1282900,274938,100495,129325,149258,46659,107423,6853
123487,6609,2247,1275,7225,2709,2066,280
582329,31379,11706,102017,48503,84397,85502,16395
2050154,99619,13139,29917,22486,13932,23932,1544
799323,56273,9177,18745,11115,17325,27314,1582
1380808,40332,9320,8501,34054,18539,16136,1485
1280401,355115,134690,46801,52040,66591,40600,4816
735188,154358,22043,20066,21647,9112,17315,1372
949202,31358,16355,16316,43351,27097,16668,2146
675554,152485,17980,197420,64391,76981,61784,6248
252412,149875,14550,15425,28384,9923,27962,3781
2072129,305011,48826,61909,70600,42552,116332,6984
332815,220409,42528,145542,92352,49159,32331,9218
2905834,43318,69265,29408,60444,87518,99760,4937
300386,460396,196820,40969,53067,47370,40648,11051
1536992,256293,231063,90091,66690,42162,23686,16631
417742,63349,11956,9965,17769,5957,3731,855
108846,14140,1106,3731,3194,2886,1397,198
1037835,698173,15075,40311,64001,38199,24640,7083
292825,365291,80888,121968,65982,26241,77257,8022
963085,73546,23694,23853,10000,9785,11149,991
509095,62221,40897,11050,28885,9831,5550,674
401170,51360,27484,19979,22145,9757,9620,694
734235,30227,2404,4022,4325,3242,958,346
149809,33116,4790,9984,2396,2400,2266,615
1613885,79669,14483,11611,12693,13398,23958,1367
2236450,466416,188266,71207,86005,34139,117807,6665
742370,96194,23802,14933,5014,14430,12344,846
1719420,118405,26588,40176,20112,45044,68084,5025
1128937,349686,12805,46544,60329,57325,30723,3653
791440,297866,102428,14814,149670,52770,39111,11996
1680240,350340,31804,121033,39662,54152,47147,4507
588364,35153,1088,17215,29428,4886,14842,2487
1561311,57410,16908,9225,43500,13966,6189,1932
218202,25536,1392,2201,3929,1652,7894,922
624489,14517,9656,37363,10636,10839,20676,1660
525586,397717,59559,189470,11769,52075,44328,1972
766575,715680,38894,87811,66581,104212,16514,20901
587411,22698,1186,17363,16394,7842,23114,1968
748918,170313,10749,26338,25142,7783,10232,2037
2061582,241206,91869,48786,13227,159184,18877,4348
2241135,40652,6269,5972,22974,45311,4090,1009
1523633,128185,113609,61844,75748,34249,59851,8009
70352,65751,45320,13872,10821,19910,6503,1326
638190,28924,8495,14165,26670,25324,10252,2349
1059025,202369,27940,14371,21279,9510,6457,2224
181856,4247,3293,5357,3920,4051,5730,251
208072,7725,2845,2264,2597,7087,1867,399
451228,57250,9712,30288,9654,15236,10187,2346
1252523,67752,9181,7893,51434,12358,4026,1020
878537,288540,71402,46568,19904,62226,36916,7345
1264344,68108,58904,123121,54298,51435,68692,8698
767622,92017,8648,19739,13044,12311,14616,2388
1838934,82261,15507,4200,22720,8840,11462,2314
1335044,24675,20938,20518,37671,7123,9436,1212
1565141,90184,79682,175155,97677,40110,30610,7017
133397,43656,6013,6860,7167,2146,2289,556
432066,45496,18064,38828,16220,10276,11679,2298
836491,60638,19362,26266,14903,8291,7152,1546
1105513,211697,47674,53954,34166,47813,113720,4590
1221939,130815,23055,72340,33802,54930,26020,7692
696690,35798,13251,4149,9890,11603,13293,1425
780424,18817,54230,12961,8545,7255,6251,1586
1407591,84284,65052,63684,86649,39432,44622,7229
429265,376407,77520,148444,95345,35969,57335,6271
825533,84823,10210,9337,13086,10344,13379,1955
2672861,221270,36066,89698,55189,54261,48238,8783
290877,286396,4208,83617,36437,47304,35112,9588
1239510,96390,13199,45934,45577,26429,78092,3960
905548,331336,21304,83993,66795,30447,43593,6250
656362,60578,30452,15350,17850,8239,4158,772
521058,124687,25736,28507,16138,22469,5469,1849
70828,4498,1052,1366,3680,1109,8006,542
605023,7924,245,3017,4807,3299,3327,147
497236,19649,2005,14429,18243,6311,13995,1548
959313,67729,9379,5597,13468,7912,18450,1416
654555,35782,24219,22925,5439,7571,14283,2001
452916,67415,16075,3028,6901,12907,18604,1870
455903,81925,5947,9215,8711,14548,4712,1918
1383199,14377,3549,18423,8272,18832,8145,4572
932153,106528,110408,113106,58991,24655,30725,9788
1264333,279442,132422,67011,36188,34388,46180,7735
1265356,121482,176096,21363,48169,67552,54102,7321
147401,11848,775,988,4503,2522,6700,747
439874,32919,19264,34487,14468,11863,10873,1185
375189,33781,14497,11786,7950,7517,17896,3416
115384,7631,2271,4802,2634,7385,5215,416
649324,77411,73793,4901,18709,8983,10337,2178
607505,83671,8558,5274,29981,9937,17015,1958
461114,52965,15904,18654,22516,13315,10634,815
766755,692641,5172,177085,104212,78211,26755,4598
1614119,207837,39858,16416,29774,36897,32409,4243
511936,34922,31659,10721,17308,14238,13346,3748
909008,72207,4121,36970,14265,11170,7775,2154
1331280,28666,16198,10530,20984,8634,6535,1388
587282,27316,7084,6932,10770,17772,6689,1474
951579,80690,25829,3671,7815,23236,4842,1408
1711569,355062,76687,49898,45948,26418,36122,3373
68636,33866,8703,2882,6186,2454,1626,528
891922,63582,20262,11441,24155,11038,8314,2352
1273905,159714,43787,205213,11121,37705,53184,10049
338314,16719,2391,7184,5416,2674,729,512
344917,63203,38686,22324,40150,9684,6099,1568
1743067,398316,176178,187413,31284,44645,17363,4818
318464,33725,43914,12589,9310,8715,10828,3610
1298161,420971,63423,65244,56537,42454,42165,4379
923739,124748,28780,15471,14704,14720,7651,1991
1363332,32565,34474,3849,26827,27793,9295,3271
838911,135880,30606,4161,12399,10049,6097,1361
772097,111038,5460,16829,49635,7647,6058,1962
68718,13617,3262,7667,4984,5081,2718,271
816999,15669,10174,21356,20586,23929,6515,1847
1520363,36168,38341,15976,10638,6973,5679,744
1158915,955955,90662,94910,114435,31549,48543,8631
1051486,112432,6620,13120,18934,9431,28689,1007
1807218,256438,91151,153336,50943,33858,108888,6231
2871136,244703,73239,170298,131175,53578,31950,16003
555465,40967,6368,30133,7461,8506,23194,2034
194255,27443,6547,1814,5256,3904,2976,379
1291619,207118,72550,132104,183566,35769,31148,4358
302881,113443,21193,10519,34985,12524,17800,805
1391947,352748,88140,166114,102187,21990,34286,4197
1373377,96255,2571,55940,4648,11062,5961,1711
2490949,656473,47167,33885,99421,30341,58418,4000
466628,120512,11121,67472,20691,19228,5740,620
922281,77524,135726,117327,45826,46056,26377,7511
967655,160046,15237,9135,23243,7998,8966,1784
2313275,310255,25169,91887,81380,33003,24643,9860
509645,292177,70180,139198,73449,39733,21608,11839
2693286,513377,33585,107339,17069,21449,84290,4311
705062,89750,10712,5431,18923,6767,3066,2331
2141862,43753,9598,27199,20078,8669,6690,2211
921433,590037,43769,94780,98130,46398,49723,4545
680788,43839,5090,19468,23943,13648,3562,2088
483802,129302,44983,19303,19273,9668,8321,3188
1612472,22768,12636,9054,20979,12937,12814,1936
1519161,130374,51116,2914,19671,7890,14807,1249
435881,69911,31306,46288,18843,5671,4364,2274
899122,55751,93582,55448,45286,43563,31739,5282
179188,9956,1044,4330,2774,4690,1786,346
1919793,162894,27673,67727,52988,37030,62126,12065
830968,201824,66501,12195,86412,48930,32029,6126
1335950,192558,10900,11061,52716,9517,2819,1707
2892984,325659,7135,201791,90449,17254,15684,11247
142861,6313,2997,4953,3169,2352,1349,215
642749,56358,12197,15158,15210,9331,6987,1779
360256,47875,32516,9309,21034,14224,20382,983
1216363,50150,50182,3926,21466,10821,9808,1161
985530,395655,134081,92724,56157,54743,31547,5933
281773,906163,159500,90101,43317,42605,34158,6927
804017,268571,17357,26391,18922,16784,7671,1557
1077216,139910,69646,34876,112544,116243,62629,9895
1290527,333942,6087,84481,110054,52493,39895,7313
1238803,37188,10763,27978,18578,14605,3011,2093
1274234,64440,19705,12298,14289,15875,6450,2802
646835,59930,21822,28660,3310,8517,4711,1794
983527,241316,209034,9983,102874,35593,26873,9249
588076,61170,32302,26891,13883,15422,10588,2488
1110321,46300,17642,45916,61251,47244,27652,4906
829386,675710,48831,148508,77598,42974,51238,13334
769483,362247,114409,27123,115097,32160,32793,8167
1927796,320667,23162,123278,67558,33667,51840,4519
3057850,417167,145658,57951,64221,35223,22800,4477
754632,207637,79115,96348,50542,29295,38918,6353
1077369,810639,30466,207198,66471,34942,19407,14238
626855,56327,7958,17216,9745,9196,3897,1582
640116,39435,16017,10443,16714,16223,18533,1168
740980,212150,168776,82152,34873,34053,38368,9033
897861,54225,18984,5692,6992,7164,12258,987
