attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,result
63,77,4147,6867,8859,15973,8859,3658,4889,2785,1
66,84,70820,9062,3799,19271,3799,4089,2324,1273,1
81,75,5654,3203,3955,9488,3955,4978,3808,1444,1
77,69,44301,9346,10143,2285,10143,2862,4011,1960,1
78,63,90851,26207,1460,16048,1460,5500,2216,534,1
74,61,50442,13506,6136,30594,6136,3783,4584,1058,1
74,53,9174,13687,6766,2751,6766,6287,4432,1644,1
70,64,44584,4817,1937,31421,1937,5085,2538,3043,1
69,67,127359,18834,4521,26143,4521,5057,2159,1280,1
77,60,106972,20678,12502,1596,12502,5668,2568,2841,1
54,64,173913,22438,9497,9626,9497,1307,1370,1241,1
54,53,245291,46286,31020,10689,31020,9380,2213,1256,1
53,41,442107,116412,3240,26671,3240,11661,5924,1933,1
50,44,1074250,84862,53711,25556,53711,20677,5135,5940,1
54,50,224779,32300,15227,34782,15227,3848,3457,2430,1
47,51,371698,63164,18818,46463,18818,6157,4942,1068,1
47,64,55705,6607,2201,9702,2201,1780,607,967,1
35,64,271476,61390,14241,41999,14241,4336,3252,1435,1
37,61,28352,31717,10335,21425,10335,3665,4016,1466,1
50,64,33827,30899,13835,34940,13835,13320,2038,1739,1
57,57,23258,17556,14225,5522,14225,8890,4102,3327,1
67,66,4254,11496,8128,54140,8128,7507,5486,1755,1
70,66,89581,27379,3920,27311,3920,4987,3112,2429,1
66,64,50536,13108,14924,5652,14924,3643,3824,1795,1
51,77,19499,15844,8559,44769,8559,3711,5164,2292,1
44,77,28290,38195,4424,106063,4424,7025,5367,1741,1
48,74,84442,45198,7589,32112,7589,10511,3274,1697,1
54,80,16244,4809,6174,34982,6174,8390,1763,2665,1
54,84,7953,7749,10173,58987,10173,4117,1208,980,1
63,77,144832,19465,2305,22111,2305,4183,2505,1586,1
56,77,46766,42849,7402,19775,7402,4214,3087,2263,1
48,83,71377,5471,6933,90633,6933,8187,1997,2375,1
48,70,18255,34685,28860,11809,28860,4579,4100,2314,1
40,75,94513,10137,6715,8432,6715,1212,587,595,1
35,64,95634,56972,4391,5309,4391,2353,528,287,1
34,43,656515,132086,37950,8014,37950,12748,2628,2007,1
24,35,95399,75146,18462,5285,18462,2385,1637,1410,1
27,24,157780,82906,10365,23412,10365,7256,4169,6099,1
27,24,223216,13744,8817,18052,8817,17778,8456,15669,1
27,24,313577,29674,18822,11110,18822,26187,6616,1177,1
27,24,1383062,240937,44041,135615,44041,246045,43872,28682,1
27,24,2405087,1056811,140922,110437,140922,349258,240393,90775,1
27,24,968578,43322,13841,42665,13841,80025,18960,12695,1
43,30,937083,60704,16080,19242,16080,14752,3245,2174,1
44,37,1586283,31679,14522,12583,14522,5939,2672,2164,1
57,38,1096388,37785,8020,8223,8020,4525,1674,1376,1
56,37,1858632,228646,34206,49319,34206,17825,10799,13524,1
37,40,1444638,278661,92938,44124,92938,8356,5753,3931,1
26,43,250694,19071,16175,8013,16175,1307,644,959,1
30,54,102799,7755,1747,25422,1747,5031,2447,1442,1
